Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
member,Chrome 97.0.4692.71,,,2022-01-17 08:56:17,2022-01-17 08:56:59,42.082s,PASSED
,,,,,,,
Test Cases/login,Chrome 97.0.4692.71,,,2022-01-17 08:56:18,2022-01-17 08:56:37,19.318s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-17 08:56:18,2022-01-17 08:56:31,12.114s,PASSED
"navigateToUrl(""https://alpha-admin.shopby.co.kr/pro/auth"")",Chrome 97.0.4692.71,,,2022-01-17 08:56:31,2022-01-17 08:56:35,4.241s,PASSED
"setText(findTestObject(""Page_shopby-pro-admin/input_id""), ""shopbyproadmin"")",Chrome 97.0.4692.71,,,2022-01-17 08:56:35,2022-01-17 08:56:36,0.983s,PASSED
"setEncryptedText(findTestObject(""Page_shopby-pro-admin/input_password""), ""YY6OvKdam5zXcWhrYqhBkg=="")",Chrome 97.0.4692.71,,,2022-01-17 08:56:36,2022-01-17 08:56:36,0.580s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/button_login""))",Chrome 97.0.4692.71,,,2022-01-17 08:56:36,2022-01-17 08:56:37,0.580s,PASSED
,,,,,,,
Test Cases/Member List,Chrome 97.0.4692.71,,,2022-01-17 08:56:37,2022-01-17 08:56:42,4.971s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a_member""))",Chrome 97.0.4692.71,,,2022-01-17 08:56:38,2022-01-17 08:56:41,2.377s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/span_MemberManagement""))",Chrome 97.0.4692.71,,,2022-01-17 08:56:41,2022-01-17 08:56:41,0.493s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a__MemberLlist""))",Chrome 97.0.4692.71,,,2022-01-17 08:56:41,2022-01-17 08:56:42,0.774s,PASSED
,,,,,,,
Test Cases/Member Reg,Chrome 97.0.4692.71,,,2022-01-17 08:56:42,2022-01-17 08:56:44,2.429s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a_Member""))",Chrome 97.0.4692.71,,,2022-01-17 08:56:43,2022-01-17 08:56:43,0.477s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/span_MemberManagement""))",Chrome 97.0.4692.71,,,2022-01-17 08:56:43,2022-01-17 08:56:44,0.422s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a__MemberReg""))",Chrome 97.0.4692.71,,,2022-01-17 08:56:44,2022-01-17 08:56:44,0.608s,PASSED
,,,,,,,
Test Cases/Withdraw Member List,Chrome 97.0.4692.71,,,2022-01-17 08:56:44,2022-01-17 08:56:47,2.615s,PASSED
