Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
member,Chrome 97.0.4692.71,,,2022-01-17 08:50:15,2022-01-17 08:50:57,42.128s,PASSED
,,,,,,,
Test Cases/login,Chrome 97.0.4692.71,,,2022-01-17 08:50:16,2022-01-17 08:50:37,20.855s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-17 08:50:17,2022-01-17 08:50:30,13.217s,PASSED
"navigateToUrl(""https://alpha-admin.shopby.co.kr/pro/auth"")",Chrome 97.0.4692.71,,,2022-01-17 08:50:30,2022-01-17 08:50:35,4.723s,PASSED
"setText(findTestObject(""Page_shopby-pro-admin/input_id""), ""shopbyproadmin"")",Chrome 97.0.4692.71,,,2022-01-17 08:50:35,2022-01-17 08:50:36,0.972s,PASSED
"setEncryptedText(findTestObject(""Page_shopby-pro-admin/input_password""), ""YY6OvKdam5zXcWhrYqhBkg=="")",Chrome 97.0.4692.71,,,2022-01-17 08:50:36,2022-01-17 08:50:36,0.595s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/button_login""))",Chrome 97.0.4692.71,,,2022-01-17 08:50:36,2022-01-17 08:50:37,0.511s,PASSED
,,,,,,,
Test Cases/Member List,Chrome 97.0.4692.71,,,2022-01-17 08:50:37,2022-01-17 08:50:41,4.050s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a_member""))",Chrome 97.0.4692.71,,,2022-01-17 08:50:38,2022-01-17 08:50:39,1.278s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/span_MemberManagement""))",Chrome 97.0.4692.71,,,2022-01-17 08:50:39,2022-01-17 08:50:40,0.536s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a__MemberLlist""))",Chrome 97.0.4692.71,,,2022-01-17 08:50:40,2022-01-17 08:50:41,0.820s,PASSED
,,,,,,,
Test Cases/Member Reg,Chrome 97.0.4692.71,,,2022-01-17 08:50:41,2022-01-17 08:50:43,2.664s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a_Member""))",Chrome 97.0.4692.71,,,2022-01-17 08:50:42,2022-01-17 08:50:42,0.450s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/span_MemberManagement""))",Chrome 97.0.4692.71,,,2022-01-17 08:50:42,2022-01-17 08:50:43,0.506s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a__MemberReg""))",Chrome 97.0.4692.71,,,2022-01-17 08:50:43,2022-01-17 08:50:43,0.777s,PASSED
,,,,,,,
Test Cases/Withdraw Member List,Chrome 97.0.4692.71,,,2022-01-17 08:50:43,2022-01-17 08:50:46,2.941s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a_Member""))",Chrome 97.0.4692.71,,,2022-01-17 08:50:45,2022-01-17 08:50:45,0.476s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/span_MemberManagement""))",Chrome 97.0.4692.71,,,2022-01-17 08:50:45,2022-01-17 08:50:46,0.484s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a__WithdrawMemberList""))",Chrome 97.0.4692.71,,,2022-01-17 08:50:46,2022-01-17 08:50:46,0.808s,PASSED
,,,,,,,
Test Cases/Dormant Member List,Chrome 97.0.4692.71,,,2022-01-17 08:50:46,2022-01-17 08:50:49,2.822s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a_Member""))",Chrome 97.0.4692.71,,,2022-01-17 08:50:48,2022-01-17 08:50:48,0.471s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/span_MemberManagement""))",Chrome 97.0.4692.71,,,2022-01-17 08:50:48,2022-01-17 08:50:49,0.506s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a__DormantMemberList""))",Chrome 97.0.4692.71,,,2022-01-17 08:50:49,2022-01-17 08:50:49,0.648s,PASSED
,,,,,,,
Test Cases/Membership Level Management,Chrome 97.0.4692.71,,,2022-01-17 08:50:49,2022-01-17 08:50:52,2.628s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a_Member""))",Chrome 97.0.4692.71,,,2022-01-17 08:50:50,2022-01-17 08:50:51,0.462s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/span_MemberManagement""))",Chrome 97.0.4692.71,,,2022-01-17 08:50:51,2022-01-17 08:50:51,0.420s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a__MembershipLevelManagement""))",Chrome 97.0.4692.71,,,2022-01-17 08:50:51,2022-01-17 08:50:52,0.684s,PASSED
,,,,,,,
Test Cases/Manage Reserve Settings,Chrome 97.0.4692.71,,,2022-01-17 08:50:52,2022-01-17 08:50:55,2.654s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a_Member""))",Chrome 97.0.4692.71,,,2022-01-17 08:50:53,2022-01-17 08:50:53,0.471s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/span_PointManagement""))",Chrome 97.0.4692.71,,,2022-01-17 08:50:53,2022-01-17 08:50:54,0.477s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a__ManageReserveSetting""))",Chrome 97.0.4692.71,,,2022-01-17 08:50:54,2022-01-17 08:50:55,0.992s,PASSED
,,,,,,,
Test Cases/Mail Management,Chrome 97.0.4692.71,,,2022-01-17 08:50:55,2022-01-17 08:50:57,2.814s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a_Member""))",Chrome 97.0.4692.71,,,2022-01-17 08:50:55,2022-01-17 08:50:56,0.401s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/span__MailManagement""))",Chrome 97.0.4692.71,,,2022-01-17 08:50:56,2022-01-17 08:50:56,0.751s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a__MailManagement""))",Chrome 97.0.4692.71,,,2022-01-17 08:50:56,2022-01-17 08:50:57,0.900s,PASSED
